"document_id","question"
"s01e05","A girl and her friends say a name into a mirror three times for a laugh, and afterwards her father turns up dead - how did he die?"
"s01e06","The younger brother goes back to warn the sister about the creature that copies people - what does he walk into?"
"s01e10","What does the dead psychiatrist's ghost do to Sam that makes him turn on his own brother?"
"s01e11","What has to be burned before the thing in the field stops taking people?"
"s01e12","The girl with the brain tumour never does get healed. What does she tell Dean about that?"
"s01e13","How do you get rid of a truck when there's no driver to shoot at? I remember them tricking it into driving somewhere."
"s01e13","There's a truck with nobody behind the wheel that leaves no tracks and runs people off the road in a small town. Whose truck was it, and how did it end up in the swamp?"
"s01e16","Those creatures only move in the dark - what do the brothers use to hold them back long enough to get out?"
"s01e16","Why did Meg set those Chicago killings up in the first place - who was she really trying to draw in?"
"s01e18","Kids in a small Wisconsin town keep falling into comas nobody can explain - what's draining them?"
"s01e21","How does their father end up in the demons' hands while his sons are off saving the family?"
"s01e21","Meg starts picking off their friends - what does she want handed over, and how does John try to cheat her on it?"
"s01e22","They're told the girl won't survive the exorcism. Why does Dean insist on going through with it anyway?"
"s02","i'm trying to remember - there was a stretch of the show that only pulled about three million viewers and almost got cancelled because of it, the same stretch where the brothers were hunting the demon that killed their mother. what was the demon called?"
"s02","when did the six-disc box set come out in the US for the run that ended in May 2007?"
"s02","which run of the show was the first to air on the channel that got created when two older networks merged?"
"s02e05","which kid with mind-control does Ash help them find in Oklahoma?"
"s02e06","whose ghost is taking women out of that building in Philadelphia?"
"s02e09","after the town empties out, Sam has his own blood tested. what does it show?"
"s02e10","another one with visions follows him to Indiana and warns him he's going to die in a blast. what do the brothers find later at her place?"
"s02e10","what did John tell Dean he might have to do to his own brother if saving him wasn't possible?"
"s02e10","who comes after Sam once he learns what the demon wants the psychic kids for, and how does he end up in cuffs?"
"s02e12","why has Agent Henriksen had Dean in his sights since that case in St. Louis the year before?"
"s02e16","what happens when Dean just drives straight at the man standing in the middle of the highway?"
"s02e17","they're guarding a woman from whatever's been mauling people, and she turns out to be the thing doing it. what does she ask Sam to do for her at the end?"
"s02e18","whose ghost kills the studio executive on the film set?"
"s02e18","why was Walter Dixon raising spirits in the first place?"
"s03e01","Which of the sins do Bobby and the boys grab after they drive a car straight into the building?"
"s03e02","the one where kids get swapped for fakes - what tipped Sam off that something was wrong with the mothers?"
"s03e04","Which hunter tags along in Elizabethville and gets lured away and murdered?"
"s03e04","the priest helping them out isn't what he seems. what's he actually up to?"
"s03e05","why is a girl who's been unconscious for years making fairy tales play out for real around town?"
"s03e07","there's a hunter who gets turned into the exact thing he spent his life killing. how does the younger brother finally finish him off?"
"s03e08","In the flashback to 1991, what does Dean pretend John left for Sam?"
"s03e08","which winter god do they pin the chimney killings on at first?"
"s03e11","which song is on the clock radio every single morning Sam wakes up?"
"s03e12","what happens to everyone still in the building once the brothers get clear?"
"s03e13","there's a haunted house where the ghost only comes back for victims once every four years - what's the story on him?"
"s03e15","a doctor walked out on his practice back in 1816 and is somehow still walking around. how's he managed that?"
"s03e15","before the hellhounds catch up with Bela, what does she tell them about who's holding all the deals?"
"s03e16","Lilith jumps into someone else for the last fight in the basement - whose body?"
"s03e16","she hits Sam with that white blast and it does nothing. what does she do then?"
"s04e07","What does Castiel admit his real orders about Dean had been from the start?"
"s04e09","What makes Dean drop his hostility toward Ruby and call a truce?"
"s04e09","Who's the girl who broke out of a psychiatric hospital after ranting that the apocalypse was on the way, and why are the demons after her?"
"s04e13","What was the nickname of the kid who used to pick on Sam, and who was driving the haunted bus?"
"s04e15","I think it was the one where nobody in the town can die - people are walking away from things that should have killed them. What was causing that?"
"s04e18","They stumble on a run of cheap paperbacks that lay out their own lives in detail. Who's writing them, and what is he really?"
"s04e19","Why did the pair of ghouls decide to go after John's remaining sons?"
"s04e21","Who quietly unlocks the panic room and lets Sam out behind Dean's back?"
"s04e22","How does Castiel get Zachariah out of the way so Dean can walk out?"
"s05","when could you actually buy the DVD and blu-ray box of the fifth year in the US?"
"s05e05","what made Leshii leave Eastern Europe and turn up in a small American town?"
"s05e08","who gets blamed for the killing in Wellington, Ohio - it's a comic book character apparently?"
"s05e09","they salt and burn the bones of the woman everyone blames for the haunting and it doesn't stop - so who's really killing guests?"
"s05e13","why does the fallen angel go back to 1978?"
"s05e16","Castiel gives Dean back the necklace and says it's no good any more - what does Dean do with it?"
"s05e16","some angry hunters gun the brothers down and they wake up wandering through their own best memories - who's waiting for them at the end of that road?"
"s05e22","where does the showdown between the two archangels actually happen?"
"s06e01","where does Dean park Lisa and Ben once he works out they're the targets?"
"s06e08","the killings in Buffalo look like a werewolf at first - what's really behind them?"
"s06e09","what did the watchmaker agree to give away in return for his shop and his reputation being saved?"
"s06e14","why doesn't salting and burning Rose's remains put her to rest?"
"s06e15","what does Balthazar admit later about the key and the whole trip?"
"s06e15","what does Balthazar shove into their hands before he sends them off, and what does he claim it opens?"
"s06e19","what has Eve done to everyone drinking in that bar in Grants Pass, Oregon?"
"s06e19","why does Eve want Crowley stopped, and where does she want human souls sent instead?"
"s06e20","one is told almost entirely from the angel's point of view, and at the end he asks God for a sign to tell him whether he's doing the right thing. does anything come back?"
"s06e22","after taking in every soul out of Purgatory, what does Castiel demand from Dean and the others?"
"s06e22","two of them recite the spell to open the gate and absolutely nothing happens. why did it fail?"
