"question","measure","verdict","reason"
"How does Sam get his brother out of the police station in Jericho? I remember it being some kind of fake call.","relevant","pass","The answer directly explains that Sam uses a fake 911 call to enable Dean's escape. The cited document explicitly states that Sam fakes a 911 call so Dean can escape the station."
"How does Sam get his brother out of the police station in Jericho? I remember it being some kind of fake call.","supported","pass","The cited document explicitly states that Sam fakes a 911 call so Dean can escape the station. The added explanation that it gives police a reason to leave Dean unattended is consistent with that described escape and introduces no unsupported series fact."
"How does Sam get his brother out of the police station in Jericho? I remember it being some kind of fake call.","retrieved","pass",""
"There's the one where the younger brother's girlfriend ends up pinned to the ceiling and burning, the same way his mother died years before. What does that push him into doing?","relevant","pass","The answer directly states what Jessica’s death pushes Sam to do: join Dean in searching for their father and the creature responsible. This is explicitly supported by the cited episode summary."
"There's the one where the younger brother's girlfriend ends up pinned to the ceiling and burning, the same way his mother died years before. What does that push him into doing?","supported","pass","The cited document states that after Jessica's death, Sam decides to join Dean in searching for their father and the creature that killed their mother and Jessica."
"There's the one where the younger brother's girlfriend ends up pinned to the ceiling and burning, the same way his mother died years before. What does that push him into doing?","retrieved","pass",""
"What did Constance Welch do to her own children before she went off that bridge?","relevant","pass","The answer directly addresses the question, and the cited document states that Constance Welch drowned her children in her house before jumping to her death from a bridge."
"What did Constance Welch do to her own children before she went off that bridge?","supported","pass","The documents state that Constance Welch drowned her children and then jumped to her death off a nearby bridge. They also identify the house as the one in which she drowned them, supporting the reference to the family home."
"What did Constance Welch do to her own children before she went off that bridge?","retrieved","pass",""
"Why couldn't the hitchhiking ghost bring herself to walk back into her old house?","relevant","pass","The cited document explicitly says Constance could never go home because she was too afraid to confront her children, whom she had drowned in the house."
"Why couldn't the hitchhiking ghost bring herself to walk back into her old house?","supported","pass","The cited document explicitly states that Constance could never go home because she was too afraid to confront her children, and it states that she drowned them in the house."
"Why couldn't the hitchhiking ghost bring herself to walk back into her old house?","retrieved","pass",""
"The spirit stuck in that mirror at the antique shop doesn't go after just anybody. What kind of person does she pick?","relevant","pass","The answer directly states that she targets people who secretly feel guilty over someone else's death, which is explicitly supported by the cited document."
"The spirit stuck in that mirror at the antique shop doesn't go after just anybody. What kind of person does she pick?","supported","pass","The answer’s claim is directly supported by the cited document, which says Bloody Mary targets people nearby who secretly feel guilt over another’s death."
"The spirit stuck in that mirror at the antique shop doesn't go after just anybody. What kind of person does she pick?","retrieved","pass",""
