"document_id","question"
"s01e01","How does Sam get his brother out of the police station in Jericho? I remember it being some kind of fake call."
"s01e01","There's the one where the younger brother's girlfriend ends up pinned to the ceiling and burning, the same way his mother died years before. What does that push him into doing?"
"s01e01","What did Constance Welch do to her own children before she went off that bridge?"
"s01e01","Why couldn't the hitchhiking ghost bring herself to walk back into her old house?"
"s01e05","The spirit stuck in that mirror at the antique shop doesn't go after just anybody. What kind of person does she pick?"
"s01e08","What happens to the Oasis Plains development once the swarms clear off at sunrise?"
"s01e13","Who calls Dean out to Cape Girardeau for a case, and what had she been to him before?"
"s01e18","children in a small town keep dropping into comas nobody can explain. why does the older brother take this one so personally, given how it went the last time the family hunted it?"
"s01e19","How does Sam get his hands on the auction house's paperwork for the piece?"
"s01e20","Once the nest is cleared out, what makes John change his mind about letting his sons hunt alongside him?"
"s01e22","What does the dying girl tell them with her last breath about where to go?"
"s02e01","a reaper tells Dean that if he digs his heels in and refuses to go, he'll end up as what?"
"s02e02","an old voicemail on their father's phone leads them to a bar full of hunters - who runs it?"
"s02e03","there's a nest that swore off people and drinks cow blood instead. who's in charge of them?"
"s02e05","what did they find out about Ansen's adoptive mother that meant the pattern doesn't hold for every psychic kid?"
"s02e08","a guy who was nobody working in a bar becomes a huge success ten years later, then something you can't see tears him apart. what did he trade?"
"s02e09","Sam finds a word cut into a wooden post that reminds him of a group of settlers who disappeared without a trace centuries ago. what was the word?"
"s02e11","the one at the old hotel where a little girl's invisible friend turns out to be a kid who drowned in the pool years back. how does the girl end up surviving?"
"s02e11","who is Tyler's supposed imaginary friend at the inn her mother wants to sell?"
"s02e12","there's a siege at a bank and one of the brothers ends up walking a hostage outside. what made him do that, and who shows up because of it?"
"s02e15","campus stories that people tell each other start actually happening, and the two of them spend the whole time blaming each other for pranks. what was doing it?"
"s02e16","a woman keeps living the same night over and over after a crash on a back road. what do the brothers have to break to her about herself?"
"s02e17","which woman in San Francisco turns out to be the werewolf even though she worked for one of the victims?"
"s02e17","who infected Madison, and whose death was supposed to cure her?"
"s02e20","in that made-up life, what's Sam doing with himself and who's he engaged to?"
"s02e20","who is Dean with romantically in the life the creature builds for him?"
"s03","Who played Ruby, and who was cast as the thief Bela Talbot?"
"s03e01","I'm after the one where seven demons show up named after the deadly sins. how does the husband of the hunter couple end up dying in that bar?"
"s03e01","who's the blonde who shows up out of nowhere, takes out three demons and then just walks off?"
"s03e07","Dean randomly starts teaching Sam how to fix the Impala on the side of the road - what's that about?"
"s03e07","Why does Dixon feed Gordon his own blood rather than just eating him?"
"s03e07","how did the girl at the club get turned without ever twigging what happened to her?"
"s03e08","What was the wreath hanging over everyone's fireplace made from, and why did that matter?"
"s03e08","the couple that seem like the perfect neighbours turn out to be old gods. what do the brothers stab them with?"
"s03e11","the same day keeps starting over and the older brother dies a different way each time. what was the point of it all, according to whoever set it up?"
"s03e13","a reality tv crew is filming a night in a haunted house when the brothers turn up. why does the crew end up with nothing on tape?"
"s03e14","Which guy at the phone company is behind the calls?"
"s03e14","what's the thing that rings people up pretending to be their dead relatives and talks them into shooting themselves?"
"s04e01","There's one where a medium tries to get a look at whatever hauled a man back out of hell and it burns her eyes out. What was she looking at?"
"s04e01","Where was Dean when that awful high-pitched screech first hit him and blew out the glass?"
"s04e02","I'm after the one where the ghosts of everybody the hunters failed to save all come back at once - what was that swarm supposed to be a sign of?"
"s04e02","Which dead FBI agent shows up as a ghost blaming the brothers for what happened to him?"
"s04e04","After watching what that transformation did to him, what does Sam decide about his own abilities?"
"s04e10","What does a fallen angel have to tear out of herself in order to be born as a human?"
"s04e10","Which angel turns out to have taken and hidden Anna's Grace?"
"s04e13","Which one sends them back undercover into a high school one of them actually attended, because something's haunting the place?"
"s04e18","What deal does Lilith put to Sam when the pair of them meet and neither can lay a finger on the other?"
"s04e21","What happens to Anna after she calls Castiel out over it?"
"s04e22","What finally pushes the younger brother into drinking a captured demon's blood on top of what he was already taking?"
"s05","which of the three leads got upgraded to full series regular for the fifth year, next to the two brothers?"
"s05e02","why does Castiel want Dean's necklace off him?"
"s05e02","why does Sam say he's done hunting at the end and thumb a lift out of town?"
"s05e06","there's a kid whose beliefs just become real, so joke shop stuff like itching powder and buzzers starts killing people - what is he?"
"s05e08","the two of them get stuck bouncing through a bunch of fake TV shows - a hospital soap, a game show, a sitcom - and one of them gets turned into a car for the last one. Which one?"
"s05e09","what does Becky pass on to Sam about who ended up with the Colt?"
"s05e11","the pair of them get themselves committed to catch something that was eating patients and dressing it up as suicide - what's the only way to tell the thing apart from a person?"
"s05e21","where do they end up sitting down with the oldest of the horsemen - I remember a pizza place with bodies all over it?"
"s06","the twenty-two episode run that started late September 2010 and finished in May 2011 - roughly how many US viewers did it pull on average?"
"s06","two actors got billed as special guest stars across the sixth season - who were they?"
"s06e03","cops keep dying from biblical plagues, boils and locusts and all that. what object is being used to do it?"
"s06e05","the one where one brother gets turned into a vampire while the other just stands there and lets it happen - what's needed to cure him?"
"s06e09","what's actually behind the supposed UFO abductions around Elwood, Indiana?"
"s06e12","one ends with a girl getting shoved into a burning pit during some ritual and then flying straight back out of it - who is she when she comes out?"
"s06e15","whose blood does Raphael's hitman use to get a message through to him?"
"s06e16","what does Eve send after the hunters in Sandusky, Ohio?"
"s06e16","which Campbell does Dean kill while the thing is controlling him?"
"s06e17","how come Ellen is alive and married to Bobby?"
"s06e20","what does Crowley want Castiel to do about the Winchesters, and what's his reasoning?"
"s06e20","what pushed Castiel into starting the war in Heaven?"
"s06e22","what happens to Sam when Castiel tears down the wall in his head?"
